arr,arr_chef_lieu,arr_name
011,01034,Belley
012,01053,Bourg-en-Bresse
013,01173,Gex
014,01269,Nantua
021,02168,Château-Thierry
022,02408,Laon
023,02691,Saint-Quentin
024,02722,Soissons
025,02789,Vervins
031,03185,Montluçon
032,03190,Moulins
033,03310,Vichy
041,04019,Barcelonnette
042,04039,Castellane
043,04070,Digne-les-Bains
044,04088,Forcalquier
051,05023,Briançon
052,05061,Gap
061,06069,Grasse
062,06088,Nice
071,07132,Largentière
072,07186,Privas
073,07324,Tournon-sur-Rhône
081,08105,Charleville-Mézières
082,08362,Rethel
083,08409,Sedan
084,08490,Vouziers
091,09122,Foix
092,09225,Pamiers
093,09261,Saint-Girons
101,10033,Bar-sur-Aube
102,10268,Nogent-sur-Seine
103,10387,Troyes
111,11069,Carcassonne
112,11206,Limoux
113,11262,Narbonne
121,12145,Millau
122,12202,Rodez
123,12300,Villefranche-de-Rouergue
131,13001,Aix-en-Provence
132,13004,Arles
133,13055,Marseille
134,13047,Istres
141,14047,Bayeux
142,14118,Caen
143,14366,Lisieux
144,14762,Vire
151,15014,Aurillac
152,15120,Mauriac
153,15187,Saint-Flour
161,16015,Angoulême
162,16102,Cognac
163,16106,Confolens
171,17197,Jonzac
172,17299,Rochefort
173,17300,La Rochelle
174,17415,Saintes
175,17347,Saint-Jean-d'Angély
181,18033,Bourges
182,18197,Saint-Amand-Montrond
183,18279,Vierzon
191,19031,Brive-la-Gaillarde
192,19272,Tulle
193,19275,Ussel
211,21054,Beaune
212,21231,Dijon
213,21425,Montbard
221,22050,Dinan
222,22070,Guingamp
223,22113,Lannion
224,22278,Saint-Brieuc
231,23008,Aubusson
232,23096,Guéret
241,24037,Bergerac
242,24311,Nontron
243,24322,Périgueux
244,24520,Sarlat-la-Canéda
251,25056,Besançon
252,25388,Montbéliard
253,25462,Pontarlier
261,26113,Die
262,26220,Nyons
263,26362,Valence
271,27016,Les Andelys
272,27056,Bernay
273,27229,Évreux
281,28085,Chartres
282,28088,Châteaudun
283,28134,Dreux
284,28280,Nogent-le-Rotrou
291,29019,Brest
292,29026,Châteaulin
293,29151,Morlaix
294,29232,Quimper
2A1,2A004,Ajaccio
2A4,2A272,Sartène
2B2,2B033,Bastia
2B3,2B096,Corte
2B5,2B050,Calvi
301,30007,Alès
302,30189,Nîmes
303,30350,Le Vigan
311,31395,Muret
312,31483,Saint-Gaudens
313,31555,Toulouse
321,32013,Auch
322,32107,Condom
323,32256,Mirande
331,33058,Blaye
332,33063,Bordeaux
333,33227,Langon
334,33240,Lesparre-Médoc
335,33243,Libourne
336,33009,Arcachon
341,34032,Béziers
342,34142,Lodève
343,34172,Montpellier
351,35115,Fougères-Vitré
352,35236,Redon
353,35238,Rennes
354,35288,Saint-Malo
361,36018,Le Blanc
362,36044,Châteauroux
363,36046,La Châtre
364,36088,Issoudun
371,37072,Chinon
372,37261,Tours
373,37132,Loches
381,38185,Grenoble
382,38509,La Tour-du-Pin
383,38544,Vienne
391,39198,Dole
392,39300,Lons-le-Saunier
393,39478,Saint-Claude
401,40088,Dax
402,40192,Mont-de-Marsan
411,41018,Blois
412,41269,Vendôme
413,41194,Romorantin-Lanthenay
421,42147,Montbrison
422,42187,Roanne
423,42218,Saint-Étienne
431,43040,Brioude
432,43157,Le Puy-en-Velay
433,43268,Yssingeaux
442,44109,Nantes
443,44184,Saint-Nazaire
445,44036,Châteaubriant-Ancenis
451,45208,Montargis
452,45234,Orléans
453,45252,Pithiviers
461,46042,Cahors
462,46102,Figeac
463,46127,Gourdon
471,47001,Agen
472,47157,Marmande
473,47323,Villeneuve-sur-Lot
474,47195,Nérac
481,48061,Florac
482,48095,Mende
491,49007,Angers
492,49099,Cholet
493,49328,Saumur
494,49331,Segré
501,50025,Avranches
502,50129,Cherbourg
503,50147,Coutances
504,50502,Saint-Lô
511,51108,Châlons-en-Champagne
512,51230,Épernay
513,51454,Reims
514,51649,Vitry-le-François
521,52121,Chaumont
522,52269,Langres
523,52448,Saint-Dizier
531,53062,Château-Gontier
532,53130,Laval
533,53147,Mayenne
541,54099,Val-de-Briey
542,54329,Lunéville
543,54395,Nancy
544,54528,Toul
551,55029,Bar-le-Duc
552,55122,Commercy
553,55545,Verdun
561,56121,Lorient
562,56178,Pontivy
563,56260,Vannes
573,57227,Forbach-Boulay-Moselle
575,57630,Sarrebourg-Château-Salins
576,57631,Sarreguemines
577,57672,Thionville
579,57463,Metz
581,58062,Château-Chinon (Ville)
582,58079,Clamecy
583,58194,Nevers
584,58086,Cosne-Cours-sur-Loire
591,59036,Avesnes-sur-Helpe
592,59122,Cambrai
593,59178,Douai
594,59183,Dunkerque
595,59350,Lille
596,59606,Valenciennes
601,60057,Beauvais
602,60157,Clermont
603,60159,Compiègne
604,60612,Senlis
611,61001,Alençon
612,61006,Argentan
613,61293,Mortagne-au-Perche
621,62041,Arras
622,62119,Béthune
623,62160,Boulogne-sur-Mer
624,62588,Montreuil
625,62765,Saint-Omer
626,62193,Calais
627,62498,Lens
631,63003,Ambert
632,63113,Clermont-Ferrand
633,63178,Issoire
634,63300,Riom
635,63430,Thiers
641,64102,Bayonne
642,64422,Oloron-Sainte-Marie
643,64445,Pau
651,65025,Argelès-Gazost
652,65059,Bagnères-de-Bigorre
653,65440,Tarbes
661,66049,Céret
662,66136,Perpignan
663,66149,Prades
672,67180,Haguenau-Wissembourg
673,67300,Molsheim
674,67437,Saverne
675,67462,Sélestat-Erstein
678,67482,Strasbourg
681,68004,Altkirch
682,68066,Colmar-Ribeauvillé
684,68224,Mulhouse
686,68334,Thann-Guebwiller
691,69123,Lyon
692,69264,Villefranche-sur-Saône
701,70310,Lure
702,70550,Vesoul
711,71014,Autun
712,71076,Chalon-sur-Saône
713,71106,Charolles
714,71263,Louhans
715,71270,Mâcon
721,72154,La Flèche
722,72180,Mamers
723,72181,Le Mans
731,73011,Albertville
732,73065,Chambéry
733,73248,Saint-Jean-de-Maurienne
741,74010,Annecy
742,74042,Bonneville
743,74243,Saint-Julien-en-Genevois
744,74281,Thonon-les-Bains
751,75056,Paris
761,76217,Dieppe
762,76351,Le Havre
763,76540,Rouen
771,77284,Meaux
772,77288,Melun
773,77379,Provins
774,77186,Fontainebleau
775,77468,Torcy
781,78361,Mantes-la-Jolie
782,78517,Rambouillet
783,78551,Saint-Germain-en-Laye
784,78646,Versailles
791,79049,Bressuire
792,79191,Niort
793,79202,Parthenay
801,80001,Abbeville
802,80021,Amiens
803,80561,Montdidier
804,80620,Péronne
811,81004,Albi
812,81065,Castres
821,82033,Castelsarrasin
822,82121,Montauban
831,83050,Draguignan
832,83137,Toulon
833,83023,Brignoles
841,84003,Apt
842,84007,Avignon
843,84031,Carpentras
851,85092,Fontenay-le-Comte
852,85191,La Roche-sur-Yon
853,85194,Les Sables-d'Olonne
861,86066,Châtellerault
862,86165,Montmorillon
863,86194,Poitiers
871,87011,Bellac
872,87085,Limoges
873,87126,Rochechouart
881,88160,Épinal
882,88321,Neufchâteau
883,88413,Saint-Dié-des-Vosges
891,89024,Auxerre
892,89025,Avallon
893,89387,Sens
901,90010,Belfort
911,91223,Étampes
912,91228,Évry
913,91477,Palaiseau
921,92002,Antony
922,92050,Nanterre
923,92012,Boulogne-Billancourt
931,93008,Bobigny
932,93062,Le Raincy
933,93066,Saint-Denis
941,94028,Créteil
942,94052,Nogent-sur-Marne
943,94038,L'Haÿ-les-Roses
951,95018,Argenteuil
952,95585,Sarcelles
953,95500,Pontoise
9711,97105,Basse-Terre
9712,97120,Pointe-à-Pitre
9721,97209,Fort-de-France
9722,97230,La Trinité
9723,97217,Le Marin
9724,97225,Saint-Pierre
9731,97302,Cayenne
9732,97311,Saint-Laurent-du-Maroni
9733,97308,Saint-Georges
9741,97411,Saint-Denis
9742,97416,Saint-Pierre
9743,97410,Saint-Benoît
9744,97415,Saint-Paul
